,time,name,price,symbol,marketcap,link,img
40,20210928150430,Bitcoin,41585.40,BTC,783005781225,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
41,20210928150430,Ethereum,2838.10,ETH,334079013539,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
42,20210928150430,Tether,1.00,USDT,68554293673,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
43,20210928150430,Cardano,2.08,ADA,66454455249,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
44,20210928150430,Binance Coin,334.00,BNB,56157147813,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
45,20210928150430,XRP,0.9101,XRP,42518050532,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
46,20210928150430,Solana,131.01,SOL,38964789777,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
47,20210928150430,USD Coin,1.00,USDC,31311166638,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
48,20210928150430,Polkadot,26.77,DOT,26442190432,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
49,20210928150430,Dogecoin,0.1992,DOGE,26189935722,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
50,20210928150129,Bitcoin,41644.72,BTC,784122656646,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
51,20210928150129,Ethereum,2852.05,ETH,335721277036,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
52,20210928150129,Tether,1.00,USDT,68558201978,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
53,20210928150129,Cardano,2.07,ADA,66415871227,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
54,20210928150129,Binance Coin,334.19,BNB,56190255180,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
55,20210928150129,XRP,0.9115,XRP,42581662938,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
56,20210928150129,Solana,131.37,SOL,39071941916,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
57,20210928150129,USD Coin,1.00,USDC,31310899124,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
58,20210928150129,Polkadot,26.90,DOT,26567368000,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
59,20210928150129,Dogecoin,0.1996,DOGE,26241749898,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
60,20210928145827,Bitcoin,41644.72,BTC,784122656646,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
61,20210928145827,Ethereum,2852.05,ETH,335721277036,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
62,20210928145827,Tether,1.00,USDT,68558201978,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
63,20210928145827,Cardano,2.07,ADA,66415871227,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
64,20210928145827,Binance Coin,334.19,BNB,56190255180,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
65,20210928145827,XRP,0.9115,XRP,42581662938,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
66,20210928145827,Solana,131.37,SOL,39071941916,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
67,20210928145827,USD Coin,1.00,USDC,31310899124,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
68,20210928145827,Polkadot,26.90,DOT,26567368000,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
69,20210928145827,Dogecoin,0.1996,DOGE,26241749898,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
70,20210928150531,Bitcoin,41585.40,BTC,783005781225,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
